Year,Site,Habitat,Benthic Invertebrate Consumer,Browser,Brusher,Concealed Cropper,Corallivore,Cropper,Excavator,Herbivore/Detritivore,Omnivore,Piscivore,Scraper,Planktivore_exclusively,Fish Scale Consumer,Sediment Sucker,na,Unknown
2006,1,BA,4046.4400000000005,800.4099999999997,10859.14,2552.1200000000003,1663.9899999999998,13612.589999999998,2569.0499999999997,233.07999999999998,3266.1299999999997,5649.9000000000005,856.1500000000001,NA,NA,NA,NA,NA
2006,1,FO,4940.670000000002,2241.5900000000006,19898.670000000002,12831.47,3558.5399999999995,4811.299999999999,7715.1,8.129999999999999,9193.000000000002,64125.68,4303.8,2081.71,NA,NA,NA,NA
2006,1,FR,6100.14,126.33,2488.56,4612.689999999999,2139.42,15041.029999999999,957.6500000000001,NA,4733.930000000001,5763.140000000001,351.23,232.31,NA,NA,NA,NA
2006,2,BA,5562,620.14,4766.6500000000005,5300.030000000001,3719.04,1877.1399999999996,3321.9,36.74,4193.049999999999,955.07,5666.6,NA,5.6,NA,NA,NA
2006,2,FO,5866.470000000002,2383.2700000000004,9780.99,2662.17,3133.04,4350.390000000001,5892.1,3.22,11448.239999999998,11326.890000000001,709.6,1265.31,0.3,NA,NA,NA
2006,2,FR,14912.600000000006,146.03000000000003,4461.679999999999,2763.74,1404.6699999999998,5243.92,1770.19,638.58,7276.1500000000005,2373.87,749.8400000000001,70.95,NA,87.6,NA,NA
2006,3,BA,2042.26,NA,1341.6,782.58,2207.4799999999996,215.95999999999998,980.45,NA,2047.9199999999996,803.7,349.1,NA,NA,NA,NA,NA
2006,3,FO,5304.300000000001,1473.65,9959.91,3403.77,3198.540000000001,2595.02,4269.97,10.030000000000001,9663.000000000004,7506.170000000004,3831.1999999999994,6756.09,NA,NA,NA,NA
2006,3,FR,10900.94,271.92,950.7599999999999,3549.0500000000006,7129.050000000001,614.26,1737.1899999999998,NA,7210.199999999999,4180.04,1489.27,1285.25,NA,NA,NA,NA
2006,4,BA,5781.380000000004,NA,5824.74,64.64,1555.31,708.8699999999999,209.4,NA,1518.2599999999995,219.1,52.3,NA,NA,NA,-1,NA
2006,4,FO,5474.0199999999995,2810.66,9807.84,1989.0700000000002,3732.38,3177.05,2884.6,65.15,21901.600000000002,8525.05,36.2,439.99000000000007,NA,NA,NA,NA
2006,4,FR,3450.669999999999,23.9,386.94,186.49999999999997,5444.410000000003,1046.48,356.73,4.6,3472.8900000000003,5441.619999999999,842.3000000000001,95.76,NA,NA,NA,NA
2006,5,BA,3350.110000000001,159.5,9555.889999999998,102.8,2567.61,1586.87,2521.3099999999995,434.06,2557.85,687.64,1645.3000000000002,NA,NA,NA,NA,NA
2006,5,FO,2855.4299999999994,156.47,6915.5599999999995,916.4499999999999,1952.4499999999991,2334.01,625.0999999999999,43.25,3108.5099999999998,2329.7599999999998,394.9,221.47000000000003,NA,NA,NA,NA
2006,5,FR,5761.410000000001,16.21,2591.72,1431.9300000000005,3331.81,1459.3500000000001,2676.09,44.34,4820.2,3458.4399999999996,170.98000000000002,825.26,NA,NA,NA,NA
2006,6,BA,8067.17,82.37,2071.27,286.55,3089.6400000000003,54425.76,4065.6400000000003,55.160000000000004,5747.720000000001,469.25999999999993,1976.6200000000001,153.6,NA,NA,NA,NA
2006,6,FO,6395.259999999999,457.59999999999997,4653.39,545.25,2337.4599999999996,1865.19,24481.7,269.85,5520.700000000001,5682.2300000000005,2554.7,5919.42,NA,NA,NA,NA
2006,6,FR,5118.87,465.40000000000003,3595.7,341.52,8925.119999999999,1521.5800000000002,839.1400000000001,6.58,4092.850000000001,1375.6999999999998,2456.05,1368.77,NA,NA,NA,NA
2007,1,BA,2991.5200000000013,367.1,5009.110000000001,1333.8799999999999,1679.6399999999996,8510.560000000001,526.36,46.2,3835.909999999998,13706.7,763.3000000000001,74.19,NA,NA,NA,NA
