Year,Site,Habitat,Non-Herbivore Biomass,Herbivore Biomass
2006,1,BA,26945.509999999987,19163.489999999987
2006,1,FO,84497.19999999995,51212.46000000001
2006,1,FR,32960.79,9585.64
2006,2,BA,14553.769999999997,21470.190000000002
2006,2,FO,33042.35999999999,25779.630000000005
2006,2,FR,26775.850000000002,15123.970000000001
2006,3,BA,7129.8600000000015,3641.189999999999
2006,3,FO,32919.79999999998,25051.85
2006,3,FR,31134.199999999997,8183.7300000000005
2006,4,BA,9516.550000000007,6416.450000000002
2006,4,FO,40130.13999999999,20713.47
2006,4,FR,18234.679999999997,2518.12
2006,5,BA,9904.369999999997,15264.569999999998
2006,5,FO,10471.920000000006,11381.440000000002
2006,5,FR,18459.379999999997,8128.359999999998
2006,6,BA,71517.84000000004,8972.919999999998
2006,6,FO,26099.719999999987,34583.02999999998
2006,6,FR,20882.1,9225.18
2007,1,BA,22396.95999999999,16447.51
2007,1,FO,21310.30999999997,49965.570000000014
2007,1,FR,17016.959999999992,15077.919999999998
2007,2,BA,16242.46000000001,17368.859999999993
2007,2,FO,21787.8,31988.329999999994
2007,2,FR,27056.470000000012,11383.34
2007,3,BA,9304.700000000003,7879.02
2007,3,FO,29301.090000000004,23425.449999999997
2007,3,FR,17866.26999999999,7144.390000000001
2007,4,BA,7622.340000000006,5020.13
2007,4,FO,45383.240000000005,18059.99
2007,4,FR,25977.749999999993,1913.1200000000001
2007,5,BA,39009.520000000004,12108.259999999995
2007,5,FO,12171.399999999996,14664.589999999998
2007,5,FR,15954.729999999996,10567.929999999997
2007,6,BA,9316.150000000001,6817.009999999999
2007,6,FO,20193.719999999994,36770.24999999997
2007,6,FR,41120.30000000001,9784.320000000002
2008,1,BA,103500.07000000014,6993.7400000000025
2008,1,FO,27936.220000000012,23356.809999999994
2008,1,FR,10600.939999999999,6880.979999999999
2008,2,BA,5969.420000000003,9038.299999999997
2008,2,FO,22429.25000000002,23511.790000000005
2008,2,FR,12816.420000000007,6414.459999999999
2008,3,BA,5000.7699999999995,6435.920000000002
2008,3,FO,13422.690000000004,16158.44
2008,3,FR,27481.219999999983,4816.6500000000005
2008,4,BA,6575.470000000004,3172.1299999999997
2008,4,FO,15088.86,7385.640000000003
2008,4,FR,21005.579999999998,2405.66
2008,5,BA,8217.48,9723.75
2008,5,FO,8700.03000000001,5947.7400000000025
